"gene","combinedPval","adjustedPval","pred","truth"
"gene250",0.0972381896958432,1,0,0
"gene251",0.315836898181694,1,0,0
"gene252",0.185454032148688,1,0,0
"gene253",0.581107957811935,1,0,0
"gene254",0.277540419028153,1,0,0
"gene255",0.658636049994948,1,0,0
"gene256",0.835801406804075,1,0,0
"gene257",0.686538890172585,1,0,0
"gene258",0.0264945492638768,1,0,0
"gene259",0.3578661529238,1,0,0
"gene260",0.621448419652275,1,0,0
"gene261",0.329032595540246,1,0,0
"gene262",0.173700769191409,1,0,0
"gene263",0.54623004479289,1,0,0
"gene264",0.635530242385846,1,0,0
"gene265",0.210221024670301,1,0,0
"gene266",0.545253857640498,1,0,0
"gene267",0.151667914567053,1,0,0
"gene268",0.68077375332411,1,0,0
"gene269",0.370749399086284,1,0,0
"gene270",0.403700164467102,1,0,0
"gene271",0.150312195164066,1,0,0
"gene272",0.532725400545848,1,0,0
"gene273",0.997709117601509,1,0,0
"gene274",0.40490078014449,1,0,0
"gene275",0.142213246435338,1,0,0
"gene276",0.466288990291866,1,0,0
"gene277",0.563123861190084,1,0,0
"gene278",0.0775455684447313,1,0,0
"gene279",0.890959417330136,1,0,0
"gene280",0.906438259783754,1,0,0
"gene281",0.438230384023331,1,0,0
"gene282",0.697887382768045,1,0,0
"gene283",0.441873558026186,1,0,0
"gene284",0.892425285234882,1,0,0
"gene285",0.291095358235171,1,0,0
"gene286",0.383652804271627,1,0,0
"gene287",0.365986067275791,1,0,0
"gene288",0.483437264079727,1,0,0
"gene289",0.888506306543748,1,0,0
"gene290",0.663353081012619,1,0,0
"gene291",0.846895730516702,1,0,0
"gene292",0.0519310647330971,1,0,0
"gene293",0.600340568003125,1,0,0
"gene294",0.237174135542646,1,0,0
"gene295",0.616448565434185,1,0,0
"gene296",0.510366252298643,1,0,0
"gene297",0.390280173747018,1,0,0
"gene298",0.239203139200854,1,0,0
"gene299",0.617284744671706,1,0,0
"gene300",0.531192543824555,1,0,0
"gene301",0.730668936151151,1,0,0
"gene302",0.151824963723214,1,0,0
"gene303",0.371010039223731,1,0,0
"gene304",0.204016429631433,1,0,0
"gene305",0.361542806056392,1,0,0
"gene306",0.870207742834864,1,0,0
"gene307",0.584882172838523,1,0,0
"gene308",0.0931766024819185,1,0,0
"gene309",0.554648483308948,1,0,0
"gene310",0.970919555635893,1,0,0
"gene311",0.711772359006621,1,0,0
"gene312",0.614854028992339,1,0,0
"gene313",0.238581368769636,1,0,0
"gene314",0.711184864235043,1,0,0
"gene315",0.516234231142688,1,0,0
"gene316",0.975534319901129,1,0,0
"gene317",0.964249890693361,1,0,0
"gene318",0.360938257696241,1,0,0
"gene319",0.997858265241954,1,0,0
"gene320",0.445710033520614,1,0,0
"gene321",0.373357455254854,1,0,0
"gene322",0.961926285809818,1,0,0
"gene323",0.538642989497412,1,0,0
"gene324",0.799719540185222,1,0,0
"gene325",0.923733865077426,1,0,0
"gene326",0.279611567501247,1,0,0
"gene327",0.401906174101989,1,0,0
"gene328",0.430114772977225,1,0,0
"gene329",0.593183668108239,1,0,0
"gene330",0.374917621924497,1,0,0
"gene331",0.848734966398159,1,0,0
"gene332",0.200881977589181,1,0,0
"gene333",0.458874080201343,1,0,0
"gene334",0.462702102245626,1,0,0
"gene335",0.397813274625894,1,0,0
"gene336",0.853262446440654,1,0,0
"gene337",0.570556257586838,1,0,0
"gene338",0.64927615238817,1,0,0
"gene339",0.973284690025136,1,0,0
"gene340",0.655069934863554,1,0,0
"gene341",0.942126214612226,1,0,0
"gene342",0.698069063585263,1,0,0
"gene343",0.188037192598595,1,0,0
"gene344",0.879132126514531,1,0,0
"gene345",0.0910622822310212,1,0,0
"gene346",0.258575697125738,1,0,0
"gene347",0.939072490829915,1,0,0
"gene348",0.0738315010885231,1,0,0
"gene349",0.415045125713856,1,0,0
"gene350",0.298002592984213,1,0,0
"gene351",0.634319545558156,1,0,0
"gene352",0.754837316848187,1,0,0
"gene353",0.822503874913603,1,0,0
"gene354",0.311438949904917,1,0,0
"gene355",0.583890119842231,1,0,0
"gene356",0.286556549138205,1,0,0
"gene357",0.543894837827977,1,0,0
"gene358",0.811122581674168,1,0,0
"gene359",0.0419619164956557,1,0,0
"gene360",0.76031769540375,1,0,0
"gene361",0.624880078878349,1,0,0
"gene362",0.775362563069137,1,0,0
"gene363",0.262702080484783,1,0,0
"gene364",0.232687564222823,1,0,0
"gene365",0.722552703723693,1,0,0
"gene366",0.27694700617171,1,0,0
"gene367",0.83916272318294,1,0,0
"gene368",0.684842921519307,1,0,0
"gene369",0.109069143640017,1,0,0
"gene370",0.48080549132672,1,0,0
"gene371",0.259961461347086,1,0,0
"gene372",0.728737359192799,1,0,0
"gene373",0.93476303306367,1,0,0
"gene374",0.347126518921346,1,0,0
"gene375",0.692731554375278,1,0,0
"gene376",0.515144528335844,1,0,0
"gene377",0.412269795259527,1,0,0
"gene379",0.624550851612566,1,0,0
"gene380",0.984207946462089,1,0,0
"gene381",0.421971309708564,1,0,0
"gene382",0.218034452508885,1,0,0
"gene383",0.630950170118966,1,0,0
"gene384",0.254657198060428,1,0,0
"gene385",0.658163500783493,1,0,0
"gene386",0.717869850393989,1,0,0
"gene387",0.34396271594027,1,0,0
"gene388",0.814696328343416,1,0,0
"gene389",0.787765768582453,1,0,0
"gene390",0.762002988808371,1,0,0
"gene391",0.189247519759532,1,0,0
"gene392",0.549463650453275,1,0,0
"gene393",0.757685530116601,1,0,0
"gene394",0.325632671569045,1,0,0
"gene395",0.971480906291054,1,0,0
"gene396",0.355137364471856,1,0,0
"gene397",0.721737250582308,1,0,0
"gene398",0.576216941253405,1,0,0
"gene399",0.0483151596372525,1,0,0
"gene400",0.384251407795813,1,0,0
"gene401",0.227414272092479,1,0,0
"gene402",0.937462759459841,1,0,0
"gene403",0.867933233781922,1,0,0
"gene404",0.417162923352631,1,0,0
"gene405",0.684933970409687,1,0,0
"gene406",0.0339686410946154,1,0,0
"gene407",0.0805312419177378,1,0,0
"gene408",0.84422045053233,1,0,0
"gene409",0.0773005489062553,1,0,0
"gene410",0.325409075649963,1,0,0
"gene412",0.762023273252764,1,0,0
"gene413",0.482284732483195,1,0,0
"gene414",0.991442860674218,1,0,0
"gene415",0.419059545586023,1,0,0
"gene416",0.616883293880609,1,0,0
"gene417",0.182306640423224,1,0,0
"gene418",0.735381389214607,1,0,0
"gene419",0.657365459293202,1,0,0
"gene420",0.310570563518118,1,0,0
"gene421",0.341948873439034,1,0,0
"gene422",0.208260509027821,1,0,0
"gene423",0.0921303282886616,1,0,0
"gene424",0.433666105269284,1,0,0
"gene425",0.184625803605865,1,0,0
"gene426",0.764471433947909,1,0,0
"gene427",0.986616546040548,1,0,0
"gene428",0.0829189984346124,1,0,0
"gene429",0.826479754768971,1,0,0
"gene430",0.662614076516835,1,0,0
"gene431",0.109315841255688,1,0,0
"gene432",0.786994617165352,1,0,0
"gene433",0.149433944084421,1,0,0
"gene434",0.87285510766113,1,0,0
"gene435",0.662060876135556,1,0,0
"gene436",0.444334600759315,1,0,0
"gene438",0.865916600694598,1,0,0
"gene439",0.62274295882993,1,0,0
"gene440",0.396867770161124,1,0,0
"gene441",0.811191337000465,1,0,0
"gene442",0.687457838955964,1,0,0
"gene443",0.756851270405733,1,0,0
"gene444",0.401788778515395,1,0,0
"gene445",0.266397870818254,1,0,0
"gene446",0.166577593399489,1,0,0
"gene447",0.0480972014497305,1,0,0
"gene448",0.685044326379753,1,0,0
"gene449",0.755466798871626,1,0,0
"gene450",0.172371074684375,1,0,0
"gene451",0.0440035445771897,1,0,0
"gene452",0.105058962956513,1,0,0
"gene453",0.831077917821055,1,0,0
"gene454",0.336331939954057,1,0,0
"gene455",0.525431044013592,1,0,0
"gene456",0.214879470546397,1,0,0
"gene457",0.480145442343505,1,0,0
"gene458",0.106842127717143,1,0,0
"gene459",0.846546341622775,1,0,0
"gene460",0.850704817642684,1,0,0
"gene461",0.984341710827724,1,0,0
"gene462",0.371801248085886,1,0,0
"gene463",0.54509337771204,1,0,0
"gene464",0.825564176694346,1,0,0
"gene465",0.315155721783512,1,0,0
"gene466",0.205896013622258,1,0,0
"gene467",0.0782122155074128,1,0,0
"gene468",0.324480906517771,1,0,0
"gene469",0.814834864915606,1,0,0
"gene470",0.177835291418788,1,0,0
"gene471",0.236016074988076,1,0,0
"gene472",0.905431908990888,1,0,0
"gene473",0.761372675765341,1,0,0
"gene474",0.699310532394475,1,0,0
"gene475",0.977074755637219,1,0,0
"gene476",0.715578283440401,1,0,0
"gene477",0.710076846909164,1,0,0
"gene478",0.502020597470325,1,0,0
"gene479",0.682586349133069,1,0,0
"gene480",0.872403145132819,1,0,0
"gene481",0.827351079289844,1,0,0
"gene482",0.153810214100022,1,0,0
"gene483",0.880078815450362,1,0,0
"gene484",0.521221035233724,1,0,0
"gene485",0.881310277238712,1,0,0
"gene486",0.792865986647125,1,0,0
"gene487",0.688951642007183,1,0,0
"gene488",0.452275555633213,1,0,0
"gene489",0.135564158157671,1,0,0
"gene490",0.398648379971917,1,0,0
"gene491",0.0584019976938117,1,0,0
"gene493",0.537589129016279,1,0,0
"gene494",0.767330508816723,1,0,0
"gene495",0.104390880558498,1,0,0
"gene496",0.082804220514636,1,0,0
"gene497",0.84666944586197,1,0,0
"gene498",0.196415385737787,1,0,0
"gene499",0.921490024316959,1,0,0
"gene500",0.545725019079138,1,0,0
"gene501",0.578692891609441,1,0,0
"gene502",0.202046989124769,1,0,0
"gene503",0.229342961204561,1,0,0
"gene504",0.772131294053297,1,0,0
"gene505",0.101131774546989,1,0,0
"gene506",0.817447865529557,1,0,0
"gene507",0.0200990620132062,1,0,0
"gene508",0.797732279493131,1,0,0
"gene509",0.0749071036818618,1,0,0
"gene510",0.312094185861494,1,0,0
"gene511",0.259001496962372,1,0,0
"gene512",0.448459779572547,1,0,0
"gene513",0.733828919033773,1,0,0
"gene514",0.64967082768043,1,0,0
"gene515",0.909760661059409,1,0,0
"gene516",0.781701055463478,1,0,0
"gene517",0.283796346892996,1,0,0
"gene518",0.711309115272966,1,0,0
"gene519",0.491909164708604,1,0,0
"gene520",0.91170295060775,1,0,0
"gene521",0.969543210696424,1,0,0
"gene522",0.537416507792859,1,0,0
"gene523",0.536747946342109,1,0,0
"gene524",0.618264850627231,1,0,0
"gene525",0.0840637455069699,1,0,0
"gene526",0.504974509027559,1,0,0
"gene527",0.850604887092258,1,0,0
"gene528",0.979982295865516,1,0,0
"gene529",0.457958126512599,1,0,0
"gene530",0.165919066511881,1,0,0
"gene531",0.809111888726192,1,0,0
"gene532",0.405106325011532,1,0,0
"gene533",0.266964614651274,1,0,0
"gene534",0.14001017054102,1,0,0
"gene535",0.227577110560531,1,0,0
"gene536",0.713167772195541,1,0,0
"gene537",0.395517034081772,1,0,0
"gene538",0.929507072775741,1,0,0
"gene539",0.456055074257583,1,0,0
"gene540",0.748233874779928,1,0,0
"gene541",0.22142668315863,1,0,0
"gene542",0.142487255154408,1,0,0
"gene543",0.068503207899085,1,0,0
"gene544",0.870966214038793,1,0,0
"gene545",0.359410336016471,1,0,0
"gene546",0.427213682605438,1,0,0
"gene547",0.817504176270749,1,0,0
"gene548",0.0486787154689488,1,0,0
"gene549",0.683269383856183,1,0,0
"gene550",0.963742784812198,1,0,0
"gene551",0.301002617594708,1,0,0
"gene552",0.615931826045372,1,0,0
"gene553",0.47511224112131,1,0,0
"gene554",0.965132274154955,1,0,0
"gene555",0.607166418093256,1,0,0
"gene556",0.567759338609269,1,0,0
"gene557",0.61495041230875,1,0,0
"gene558",0.641595763683192,1,0,0
"gene559",0.38788642280363,1,0,0
"gene560",0.97251646649309,1,0,0
"gene561",0.713338737784613,1,0,0
