"gene","combinedPval","adjustedPval","pred","truth"
"gene337",0.500566810998956,1,0,0
"gene338",0.7408177172297,1,0,0
"gene339",0.744345397459019,1,0,0
"gene340",0.913997255045139,1,0,0
"gene341",0.390673685592403,1,0,0
"gene342",0.814200884461745,1,0,0
"gene343",0.564311848047202,1,0,0
"gene344",0.286886167291145,1,0,0
"gene345",0.178316427522449,1,0,0
"gene346",0.618806040590096,1,0,0
"gene347",0.0489571874842187,1,0,0
"gene348",0.988292461920177,1,0,0
"gene349",0.0450973366993178,1,0,0
"gene350",0.949451560348162,1,0,0
"gene351",0.642633217585188,1,0,0
"gene352",0.310793744005095,1,0,0
"gene353",0.641197261284598,1,0,0
"gene354",0.864367515065532,1,0,0
"gene355",0.533572615790356,1,0,0
"gene356",0.739787010085454,1,0,0
"gene357",0.815947118669823,1,0,0
"gene358",0.95436457928888,1,0,0
"gene359",0.0866055049796993,1,0,0
"gene360",0.720242095936673,1,0,0
"gene361",0.875630936729795,1,0,0
"gene362",0.187631109286539,1,0,0
"gene363",0.153105240359313,1,0,0
"gene364",0.390344445730869,1,0,0
"gene365",0.953933998613416,1,0,0
"gene366",0.986953667939719,1,0,0
"gene367",0.732683636306695,1,0,0
"gene368",0.608287092525747,1,0,0
"gene369",0.673966642695251,1,0,0
"gene370",0.450709689609998,1,0,0
"gene372",0.303284942132037,1,0,0
"gene373",0.891296496986633,1,0,0
"gene374",0.0543235601538583,1,0,0
"gene376",0.271385421615606,1,0,0
"gene377",0.600024297716979,1,0,0
"gene378",0.69413877943714,1,0,0
"gene379",0.472363774862506,1,0,0
"gene380",0.118415444414851,1,0,0
"gene381",0.163655520631031,1,0,0
"gene382",0.678080976398071,1,0,0
"gene383",0.993430774050137,1,0,0
"gene384",0.974413662704076,1,0,0
"gene385",0.265852850990791,1,0,0
"gene386",0.636473379723656,1,0,0
"gene387",0.911901313003113,1,0,0
"gene388",0.33255001406769,1,0,0
"gene389",0.480027423840392,1,0,0
"gene390",0.0351506399616388,1,0,0
"gene391",0.465812999533039,1,0,0
"gene392",0.899365767726081,1,0,0
"gene393",0.265348886711694,1,0,0
"gene394",0.670126979867592,1,0,0
"gene395",0.140224170954634,1,0,0
"gene396",0.84154879181976,1,0,0
"gene397",0.0780241363138466,1,0,0
"gene398",0.274071670247058,1,0,0
"gene400",0.382116556081309,1,0,0
"gene401",0.500230436234163,1,0,0
"gene402",0.318873495400269,1,0,0
"gene403",0.0360486046568871,1,0,0
"gene404",0.361063561624144,1,0,0
"gene405",0.718818237852114,1,0,0
"gene406",0.565674631273739,1,0,0
"gene407",0.702781114796386,1,0,0
"gene408",0.581417574868449,1,0,0
"gene410",0.460583931152544,1,0,0
"gene411",0.359745935864956,1,0,0
"gene413",0.553566421577344,1,0,0
"gene414",0.67647266273965,1,0,0
"gene415",0.811070831940292,1,0,0
"gene416",0.477627708605239,1,0,0
"gene417",0.619302503235898,1,0,0
"gene418",0.489246298531576,1,0,0
"gene419",0.292901752368687,1,0,0
"gene420",0.252807133496165,1,0,0
"gene421",0.53569174680061,1,0,0
"gene422",0.0667441133969353,1,0,0
"gene423",0.68513412463031,1,0,0
"gene424",0.228294805407019,1,0,0
"gene425",0.856724888267102,1,0,0
"gene426",0.825369047509177,1,0,0
"gene427",0.655169226744391,1,0,0
"gene428",0.134823820845122,1,0,0
"gene430",0.0980469872421889,1,0,0
"gene431",0.347466520954364,1,0,0
"gene432",0.454802347771851,1,0,0
"gene433",0.809329631227124,1,0,0
"gene434",0.0303759908018106,1,0,0
"gene435",0.40711115649719,1,0,0
"gene436",0.118970409752943,1,0,0
"gene437",0.913216578045507,1,0,0
"gene438",0.325269722685225,1,0,0
"gene439",0.514319868593651,1,0,0
"gene440",0.827566650275653,1,0,0
"gene441",0.0692488716648869,1,0,0
"gene442",0.845282403993797,1,0,0
"gene443",0.349633060555432,1,0,0
"gene444",0.81950830715438,1,0,0
"gene445",0.889139383606656,1,0,0
"gene446",0.104809506932049,1,0,0
"gene447",0.697453027257864,1,0,0
"gene448",0.796183725969191,1,0,0
"gene449",0.972499284944077,1,0,0
"gene450",0.251414883635835,1,0,0
"gene451",0.872399522707176,1,0,0
"gene452",0.848536362730752,1,0,0
"gene453",0.548278951937153,1,0,0
"gene454",0.850871719646464,1,0,0
"gene455",0.919073673591316,1,0,0
"gene456",0.731914237627391,1,0,0
"gene457",0.734673618369298,1,0,0
"gene458",0.481128250169277,1,0,0
"gene459",0.376169303283931,1,0,0
"gene460",0.859635201513953,1,0,0
"gene461",0.242758363077051,1,0,0
"gene462",0.525040555073148,1,0,0
"gene464",0.868009146394672,1,0,0
"gene465",0.83947485176369,1,0,0
"gene466",0.744565873581963,1,0,0
"gene467",0.487007797421452,1,0,0
"gene468",0.0330641651864096,1,0,0
"gene469",0.216449091227156,1,0,0
"gene470",0.0457469005058609,1,0,0
"gene471",0.0338351536577878,1,0,0
"gene472",0.580472763646001,1,0,0
"gene473",0.174411463495596,1,0,0
"gene474",0.152929991780342,1,0,0
"gene475",0.618455666379211,1,0,0
"gene476",0.772969952709333,1,0,0
"gene477",0.938805581401558,1,0,0
"gene478",0.647985987590053,1,0,0
"gene479",0.715855686472395,1,0,0
"gene480",0.166137510313352,1,0,0
"gene481",0.77096937798553,1,0,0
"gene482",0.870456612866066,1,0,0
"gene483",0.580653494283444,1,0,0
"gene484",0.72934223506686,1,0,0
"gene485",0.0876017626251313,1,0,0
"gene486",0.948269673468863,1,0,0
"gene487",0.959295972649489,1,0,0
"gene488",0.354669871008247,1,0,0
"gene489",0.90252017898712,1,0,0
"gene491",0.84216273687353,1,0,0
"gene492",0.501147130876287,1,0,0
"gene493",0.968515505223298,1,0,0
"gene494",0.528632667511627,1,0,0
"gene495",0.38411759967765,1,0,0
"gene496",0.373677683759753,1,0,0
"gene497",0.370880987821369,1,0,0
"gene498",0.62799141303845,1,0,0
"gene499",0.0507257129481284,1,0,0
"gene500",0.287995628086982,1,0,0
"gene501",0.846895661904219,1,0,0
"gene502",0.340289757026066,1,0,0
"gene503",0.108111490063825,1,0,0
"gene504",0.286808548838157,1,0,0
"gene505",0.0991000432291732,1,0,0
"gene506",0.847338376088472,1,0,0
"gene507",0.0791275158765988,1,0,0
"gene508",0.672981215815698,1,0,0
"gene509",0.0473437160147412,1,0,0
"gene510",0.867852252402584,1,0,0
"gene511",0.407306996616766,1,0,0
"gene512",0.576176846037306,1,0,0
"gene513",0.625450425005845,1,0,0
"gene514",0.549274271354098,1,0,0
"gene515",0.803275606597081,1,0,0
"gene516",0.852598705982199,1,0,0
"gene517",0.0690728035988675,1,0,0
"gene518",0.69891081141183,1,0,0
"gene519",0.449750891564716,1,0,0
"gene520",0.262217631337413,1,0,0
"gene521",0.391977190450249,1,0,0
"gene522",0.50599151380273,1,0,0
"gene523",0.472011901157399,1,0,0
"gene525",0.856078428896891,1,0,0
"gene526",0.349927820086017,1,0,0
"gene527",0.0876686966702329,1,0,0
"gene528",0.591272196654893,1,0,0
"gene529",0.060597998200583,1,0,0
"gene530",0.506719755197286,1,0,0
"gene531",0.246792937630587,1,0,0
"gene532",0.213448862791857,1,0,0
"gene533",0.668673892095242,1,0,0
"gene534",0.59418394270785,1,0,0
"gene535",0.106073162025996,1,0,0
"gene536",0.68754108710942,1,0,0
"gene537",0.576583284304528,1,0,0
"gene538",0.953041957633585,1,0,0
"gene539",0.619160607763352,1,0,0
"gene540",0.0765182622363978,1,0,0
"gene541",0.449978312740727,1,0,0
"gene542",0.651296897836639,1,0,0
"gene543",0.280181638108594,1,0,0
"gene544",0.991443917789285,1,0,0
"gene545",0.668121084570397,1,0,0
"gene546",0.561577551061307,1,0,0
"gene547",0.856033135207503,1,0,0
"gene548",0.260902232211683,1,0,0
"gene549",0.355227416164219,1,0,0
"gene550",0.333705689084719,1,0,0
"gene551",0.34973170809385,1,0,0
"gene552",0.238142632991212,1,0,0
"gene553",0.0801091660362974,1,0,0
"gene554",0.916171529722649,1,0,0
"gene555",0.76984039543327,1,0,0
"gene556",0.575804174927713,1,0,0
"gene557",0.490838388181264,1,0,0
"gene558",0.997851797654545,1,0,0
"gene559",0.541156214299826,1,0,0
"gene560",0.7723668989608,1,0,0
"gene561",0.25449688641077,1,0,0
"gene562",0.744676982910719,1,0,0
"gene563",0.337873993685258,1,0,0
"gene564",0.210301708735443,1,0,0
"gene565",0.579812426103246,1,0,0
"gene566",0.0214871746960216,1,0,0
"gene567",0.0319822076576215,1,0,0
"gene568",0.756741539455035,1,0,0
"gene569",0.0217422054261569,1,0,0
"gene570",0.635530334124526,1,0,0
"gene571",0.217850203454759,1,0,0
"gene572",0.942766532415307,1,0,0
"gene573",0.958620609871503,1,0,0
"gene574",0.423521458469164,1,0,0
"gene575",0.589284856171515,1,0,0
