"Gene Set ID","Gene Set Name","# Genes in Gene Set (K)","Description","# Genes in Overlap (k)","k/K","p-value","FDR q-value"
47,"GOBP_REGULATION_OF_SECRETION",797,"Any process that modulates the frequency, rate or extent of the controlled release of a substance from a cell or a tissue. [GOC:ai]",36,0.0452,8.8e-19,2.01e-16
48,"GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",1133,"Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]",42,0.0371,1.25e-18,2.8e-16
49,"GOBP_FEEDING_BEHAVIOR",150,"Behavior associated with the intake of food. [GOC:mah]",19,0.1267,1.39e-18,3.04e-16
50,"GOMF_PEPTIDE_RECEPTOR_ACTIVITY",131,"Combining with an extracellular or intracellular peptide to initiate a change in cell activity. [GOC:jl]",18,0.1374,2.53e-18,5.44e-16
51,"GOCC_POSTSYNAPTIC_MEMBRANE",416,"A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane. [ISBN:0198506732]",27,0.0649,3.13e-18,6.6e-16
52,"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",504,"A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space. [GOC:go_curators]",29,0.0575,4.35e-18,8.99e-16
53,"GOBP_METAL_ION_TRANSPORT",948,"The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]",38,0.0401,4.8e-18,9.74e-16
54,"GOBP_ANIMAL_ORGAN_MORPHOGENESIS",1186,"Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions. [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",42,0.0354,6.41e-18,1.27e-15
55,"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS",1918,"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. [GOC:jid]",53,0.0276,9.37e-18,1.83e-15
56,"GOBP_MUSCLE_SYSTEM_PROCESS",521,"An organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers. [GOC:mtg_cardio]",29,0.0557,1.05e-17,2.02e-15
