
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	322
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	1083	The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling, ISBN:0815316194]	36	0.0332	1.18E-14	1.37E-12
GOBP_RHYTHMIC_PROCESS	357	Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism. [GOC:jid]	22	0.0616	1.29E-14	1.48E-12
GOCC_GABA_ERGIC_SYNAPSE	180	A synapse that uses GABA as a neurotransmitter. These synapses are typically inhibitory. [GOC:dos]	17	0.0944	1.34E-14	1.52E-12
GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX	358	A protein complex that spans a membrane and forms a water-filled channel across the phospholipid bilayer allowing selective monoatomic ion transport down its electrochemical gradient. [GOC:mah, ISBN:071673706X]	22	0.0615	1.37E-14	1.53E-12
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	596	Any process that modulates the size of an anatomical structure. [GOC:dph, GOC:tb]	27	0.0453	2.2E-14	2.43E-12
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	1106	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site, located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by some RNA polymerase. Cis-regulatory sites are often referred to as a sequence motifs, enhancers, or silencers. [GOC:txnOH-2018]	36	0.0325	2.22E-14	2.43E-12
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	187	Any process that modulates the potential difference across a post-synaptic membrane. [GOC:dph, GOC:ef]	17	0.0909	2.53E-14	2.74E-12
GOBP_DEVELOPMENTAL_GROWTH	872	The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another. [GOC:go_curators]	32	0.0367	2.69E-14	2.89E-12


Gene/Gene Set Overlap Matrix

