"gene","scbsp_pvalue","scbsp_pred"
"CXCL1",0.709709989671055,0
"CXCL14",0.00675685005112425,1
"CXCL2",0.287536025587962,0
"CYP26B1",0.505783293930247,0
"CYP2S1",0.503857157292883,0
"CYTH3",0.0813349460332701,0
"DAD1",0.080929619560929,0
"DAPL1",0.819928246880535,0
"DBH",0.89728661837148,0
"DBPHT2",0.00637912698093357,1
"DCLK3",0.0231686857612262,1
"DCN",0.337200216406961,0
"DDIT4L",0.586483924675844,0
"DEGS2",0.953326924010598,0
"DEPTOR",0.0697120190203723,0
"DGKK",0.0149492650613682,1
"DHH",0.734615710919259,0
"DKK1",0.911087506660685,0
"DKK3",0.000661332590295327,1
"DKKL1",0.874466068447861,0
"DLK1",0.000148435251194567,1
"DLX1",0.818426435350721,0
"DLX2",0.692247633610836,0
"DLX5",0.68151543952586,0
"DMBX1",0.79279645102431,0
"DMKN",0.951552930752159,0
"DOC2G",0.575310153575614,0
"DOCK5",0.677768978286689,0
"DPT",0.938574393996422,0
"DPY19L1",0.0798327437497535,0
"DRD1",0.287197407366248,0
"DRD2",0.641568448620403,0
"DRD3",0.851690092525365,0
"DRD4",0.869470505287369,0
"DRD5",0.392358398333808,0
"DYNLRB2",0.768438856907192,0
"EBF1",0.298597547346826,0
"EBF2",0.478398283089272,0
"EBF3",0.00215226309268934,1
"ECEL1",0.0315097762137397,1
"ECSCR",0.766257944837804,0
"EDN3",0.8127466251312,0
"EFHD1",0.527168552109358,0
"EFHD2",0.0261653067961407,1
"EFNA5",0.0814342804326411,0
"EGLN3",0.54635522292938,0
"ELFN1",0.0932241255557358,0
"EMID1",0.490158064336384,0
"EMX2",0.254970202713964,0
"EN1",0.928199330776524,0
"ENPP6",0.262182226227612,0
"EOMES",0.807038004826501,0
"EPHA7",0.0260806981720726,1
"EPYC",0.907704914447188,0
"ESPN",0.841723258091217,0
"ESRRG",0.545710096366989,0
"ETV1",0.177923051976121,0
"F13A1",0.874249925019637,0
"FABP7",0.227761226961093,0
"FAM107A",0.0660577436849245,0
"FAM169B",0.694680804463678,0
"FAM180A",0.850764296864536,0
"FAM181B",0.132170195545243,0
"FAM183B",0.25528784150532,0
"FAM184A",0.0698427447319283,0
"FAM214A",0.0406332560448014,1
"FAM216B",0.863069502097017,0
"FAM92B",0.708915552842211,0
"FAT2",0.785251741969967,0
"FBLN2",0.843559423619778,0
"FBLN5",0.244522354922143,0
"FBP2",0.889128078259832,0
"FCMR",0.910719447010639,0
"FERMT1",0.881631310963248,0
"FEV",0.565644386770197,0
"FEZF1",0.373853140680782,0
"FEZF2",0.214645340774355,0
"FGF10",0.22793735630063,0
"FGFR3",0.412624621156377,0
"FIBCD1",0.242696501289665,0
"FIGN",0.120156861937292,0
"FJX1",0.0778490752812874,0
"FLT1",0.0355324446831201,1
"FN1",0.278644219310105,0
"FOLR1",0.897430051824561,0
"FOS",0.134003496485552,0
"FOXP2",0.164221201838859,0
"FRZB",0.481977801079436,0
"FSHR",0.62008396778845,0
"GABBR1",3.76664503312085e-05,1
"GABBR2",4.91604548693569e-05,1
"GABRA5",0.0568432127833173,0
"GABRA6",0.801330557513577,0
"GABRQ",0.181392555181591,0
"GABRR2",0.726907080199964,0
"GAD1",0.116892768584925,0
"GAD2",9.65806570918382e-06,1
"GADD45A",0.356572838691472,0
"GAL",0.0131615458061789,1
"GALNT14",0.786035730357324,0
"GALNTL6",0.206754641314028,0
"GALR1",0.596515269173773,0
"GALR2",0.643181887787798,0
"GALR3",0.387407621504443,0
"GAST",0.624201004695682,0
"GATA3",0.789839298558615,0
