"gene","p0g","geosvg_pred","scbsp_pvalue","scbsp_pred","raw_zero_prop","category"
"RELN",0,1,0.104689429948466,0,0.96168041684759,"GeoSVG-3D only"
"RGS14",0,1,0.833039199277244,0,0.994572297003908,"GeoSVG-3D only"
"RGS4",0,1,0.00459154295849196,1,0.788862353452019,"Both"
"RGS9",0,1,0.016362427707808,1,0.871146330872775,"Both"
"RPS24",0,1,2.52382116064931e-05,1,0.368323925314807,"Both"
"RSPO3",0,1,0.574882423337976,0,0.993161094224924,"GeoSVG-3D only"
"RXFP1",0,1,0.521153559485427,0,0.991315675206253,"GeoSVG-3D only"
"RXRG",0,1,0.0643407934089152,0,0.939426834563613,"GeoSVG-3D only"
"SAPCD2",0,1,0.225371590175154,0,0.968302214502822,"GeoSVG-3D only"
"SATB1",0,1,0.00239373671798537,1,0.843030829353018,"Both"
"SATB2",0,1,0.150850653131494,0,0.98881893182805,"GeoSVG-3D only"
"SCN4B",0,1,0.155878026643869,0,0.965262700825011,"GeoSVG-3D only"
"SCTR",0,1,0.934803745981118,0,0.996417716022579,"GeoSVG-3D only"
"SEMA4D",0,1,0.0485051113025361,1,0.893725575336518,"Both"
"SEMA5A",0,1,0.0122182620634514,1,0.868323925314807,"Both"
"SEZ6",0,1,0.00107633835398857,1,0.71168041684759,"Both"
"SLA",0,1,0.420075325435583,0,0.986213634389926,"GeoSVG-3D only"
"SLA2",0,1,0.844654893638702,0,0.996417716022579,"GeoSVG-3D only"
"SLC17A7",0,1,0.187414420927332,0,0.976443768996961,"GeoSVG-3D only"
"SLC17A8",0,1,0.528745645550178,0,0.992292661745549,"GeoSVG-3D only"
"SLC18A3",0,1,0.727158495117201,0,0.993269648284846,"GeoSVG-3D only"
"SLC30A3",0,1,0.0548260686037866,0,0.957121146330873,"GeoSVG-3D only"
"SLC47A1",0,1,0.877169627200369,0,0.996960486322188,"GeoSVG-3D only"
"SLC6A11",0,1,2.18329736423328e-06,1,0.390468953538862,"Both"
"SLC6A13",0,1,0.8345184911109,0,0.99587494572297,"GeoSVG-3D only"
"SLC6A2",0,1,0.902838948573683,0,0.997503256621798,"GeoSVG-3D only"
"SLC6A3",0,1,0.979723192713089,0,0.998480243161094,"GeoSVG-3D only"
"SLN",0,1,0.820776278958075,0,0.99587494572297,"GeoSVG-3D only"
"SMIM17",0,1,0.025929136773571,1,0.895788102475033,"Both"
"SMOC1",0,1,0.110877801805124,0,0.944420321320017,"GeoSVG-3D only"
"SNCG",0,1,0.000292304843911739,1,0.834129396439427,"Both"
"SOX11",0,1,0.613106030909597,0,0.994029526704299,"GeoSVG-3D only"
"SOX14",0,1,0.810379544641073,0,0.996526270082501,"GeoSVG-3D only"
"SPARC",0,1,2.16861760438114e-07,1,0.256621797655232,"Both"
"SPINK8",0,1,0.84245165698338,0,0.995549283543204,"GeoSVG-3D only"
"ST18",0,1,0.047908749650124,1,0.928462874511507,"Both"
"STAC2",0,1,0.389283738201072,0,0.982957012592271,"GeoSVG-3D only"
"STARD8",0,1,0.449394121551851,0,0.992835432045158,"GeoSVG-3D only"
"STK32B",0,1,0.206144974258137,0,0.961354754667825,"GeoSVG-3D only"
"SULF1",0,1,0.0174507037823607,1,0.902952670429874,"Both"
"SULF2",0,1,0.0526687631605943,0,0.917716022579244,"GeoSVG-3D only"
"SUMO2",0,1,0.000329336612069242,1,0.592379504993487,"Both"
"TBR1",0,1,0.236303788384002,0,0.969821971341728,"GeoSVG-3D only"
"TCERG1L",0,1,0.28889883081748,0,0.967759444203213,"GeoSVG-3D only"
"TCF4",0,1,0.011490280204947,1,0.83076422058185,"Both"
"TEDDM3",0,1,0.805455603078409,0,0.995766391663048,"GeoSVG-3D only"
"TIMP4",0,1,0.178835671376458,0,0.948002605297438,"GeoSVG-3D only"
"TLX3",0,1,0.759872461071318,0,0.993703864524533,"GeoSVG-3D only"
"TMEM119",0,1,0.885616655683848,0,0.99468085106383,"GeoSVG-3D only"
"TMEM132C",0,1,0.27987250878826,0,0.967650890143291,"GeoSVG-3D only"
"TMEM163",0,1,0.00970374499697824,1,0.881676074685193,"Both"
"TMEM233",0,1,0.876322203053548,0,0.99706904038211,"GeoSVG-3D only"
"TMEM255B",0,1,0.81390662108749,0,0.994897959183674,"GeoSVG-3D only"
"TMEM72",0,1,0.765831333777741,0,0.993052540165002,"GeoSVG-3D only"
"TNNT1",0,1,0.493258277815484,0,0.995983499782892,"GeoSVG-3D only"
"TPH2",0,1,0.743702598691313,0,0.994138080764221,"GeoSVG-3D only"
"TUBGCP2",0,1,0.412754446512308,0,0.979049066435085,"GeoSVG-3D only"
"TYRP1",0,1,0.850479766371445,0,0.996200607902736,"GeoSVG-3D only"
"UBE2C",0,1,0.898993187159076,0,0.996200607902736,"GeoSVG-3D only"
"UCN",0,1,0.925002254665367,0,0.997828918801563,"GeoSVG-3D only"
"UGT8A",0,1,0.129631801738201,0,0.94691706469822,"GeoSVG-3D only"
"VCAN",0,1,0.309404926543875,0,0.974706904038211,"GeoSVG-3D only"
"VGLL3",0,1,0.583530309746675,0,0.991858445505862,"GeoSVG-3D only"
"VIP",0,1,0.374579649685717,0,0.989036039947894,"GeoSVG-3D only"
"VWF",0,1,0.811126117188737,0,0.996634824142423,"GeoSVG-3D only"
"WIF1",0,1,0.698669638762436,0,0.992726877985237,"GeoSVG-3D only"
"WNT2",0,1,0.911586563370614,0,0.995983499782892,"GeoSVG-3D only"
"ZFHX4",0,1,0.0144315059615213,1,0.877551020408163,"Both"
"DLX1",5e-04,1,0.818426435350721,0,0.99706904038211,"GeoSVG-3D only"
"PROK2",5e-04,1,0.910533408062281,0,0.996417716022579,"GeoSVG-3D only"
"ECEL1",0.0015,1,0.0315097762137397,1,0.927811550151976,"Both"
