"method_1","method_2","category","gene"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PDGFRA"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PDLIM1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PDZK1IP1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PF4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PGR15L"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PIK3R3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PLCXD2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PNMT"
"GeoSVG-3D","scBSP","GeoSVG-3D only","POMC"
"GeoSVG-3D","scBSP","GeoSVG-3D only","POU4F2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PPP1R3G"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PRC1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PRKCG"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PROCR"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PROK2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PRX"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PTPRZ1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PVALB"
"GeoSVG-3D","scBSP","GeoSVG-3D only","PYY"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RARRES1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RASL10A"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RASL11A"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RBP4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RELN"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RGS14"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RGS9"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RLN3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RORB"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RSPO3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RXFP1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","RXRG"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SAPCD2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SATB2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SCN4B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SCTR"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SEMA3A"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SEMA4D"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SEMA5A"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLA"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLA2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC17A6"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC17A7"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC17A8"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC18A3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC30A3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC47A1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC6A13"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC6A2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLC6A3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SLN"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SMIM17"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SMOC1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SOX11"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SOX14"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SPHKAP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SPINK8"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SST"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ST18"
"GeoSVG-3D","scBSP","GeoSVG-3D only","STAC2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","STARD8"
"GeoSVG-3D","scBSP","GeoSVG-3D only","STK32B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SULF1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","SULF2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TACR1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TAX1BP3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TBR1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TCAP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TCERG1L"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TCF4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TEDDM3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TEKT5"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TFAP2D"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TIMP4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TLX3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TMEM119"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TMEM132C"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TMEM233"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TMEM255B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TMEM72"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TNF"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TNNT1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TPH2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TRP73"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TRPV1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TUBGCP2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","TYRP1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","UBE2C"
"GeoSVG-3D","scBSP","GeoSVG-3D only","UCN"
"GeoSVG-3D","scBSP","GeoSVG-3D only","UGT8A"
"GeoSVG-3D","scBSP","GeoSVG-3D only","VCAN"
"GeoSVG-3D","scBSP","GeoSVG-3D only","VGLL3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","VIP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","VWC2L"
"GeoSVG-3D","scBSP","GeoSVG-3D only","VWF"
"GeoSVG-3D","scBSP","GeoSVG-3D only","WIF1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","WNT2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ZBTB20"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ZFHX4"
"GeoSVG-3D","scBSP","scBSP only","ADCYAP1"
"GeoSVG-3D","scBSP","scBSP only","APOD"
"GeoSVG-3D","scBSP","scBSP only","BAIAP3"
"GeoSVG-3D","scBSP","scBSP only","CACNA2D1"
"GeoSVG-3D","scBSP","scBSP only","CADM1"
"GeoSVG-3D","scBSP","scBSP only","CAR2"
"GeoSVG-3D","scBSP","scBSP only","CARTPT"
"GeoSVG-3D","scBSP","scBSP only","CBLN1"
"GeoSVG-3D","scBSP","scBSP only","CLDN11"
"GeoSVG-3D","scBSP","scBSP only","CPNE6"
"GeoSVG-3D","scBSP","scBSP only","CST3"
"GeoSVG-3D","scBSP","scBSP only","CXCL14"
"GeoSVG-3D","scBSP","scBSP only","DBPHT2"
"GeoSVG-3D","scBSP","scBSP only","GABBR1"
"GeoSVG-3D","scBSP","scBSP only","GABBR2"
"GeoSVG-3D","scBSP","scBSP only","GAD2"
"GeoSVG-3D","scBSP","scBSP only","GFAP"
"GeoSVG-3D","scBSP","scBSP only","GJA1"
"GeoSVG-3D","scBSP","scBSP only","GPRASP2"
"GeoSVG-3D","scBSP","scBSP only","GPSM1"
"GeoSVG-3D","scBSP","scBSP only","GRM5"
"GeoSVG-3D","scBSP","scBSP only","GRM7"
"GeoSVG-3D","scBSP","scBSP only","HCRT"
"GeoSVG-3D","scBSP","scBSP only","HPCAL4"
"GeoSVG-3D","scBSP","scBSP only","HTRA1"
"GeoSVG-3D","scBSP","scBSP only","LMO3"
"GeoSVG-3D","scBSP","scBSP only","LYPD1"
"GeoSVG-3D","scBSP","scBSP only","MBP"
"GeoSVG-3D","scBSP","scBSP only","MEIS2"
"GeoSVG-3D","scBSP","scBSP only","MOG"
"GeoSVG-3D","scBSP","scBSP only","NEFM"
"GeoSVG-3D","scBSP","scBSP only","OLFM2"
"GeoSVG-3D","scBSP","scBSP only","OPRL1"
"GeoSVG-3D","scBSP","scBSP only","PARM1"
"GeoSVG-3D","scBSP","scBSP only","PCP4"
"GeoSVG-3D","scBSP","scBSP only","PEG10"
"GeoSVG-3D","scBSP","scBSP only","PENK"
"GeoSVG-3D","scBSP","scBSP only","PPP1R1B"
"GeoSVG-3D","scBSP","scBSP only","PPP2R2B"
"GeoSVG-3D","scBSP","scBSP only","PRKCD"
"GeoSVG-3D","scBSP","scBSP only","PROX1"
"GeoSVG-3D","scBSP","scBSP only","PTGDS"
"GeoSVG-3D","scBSP","scBSP only","RAB3B"
"GeoSVG-3D","scBSP","scBSP only","SLC32A1"
"GeoSVG-3D","scBSP","scBSP only","STMN2"
"GeoSVG-3D","scBSP","scBSP only","TAC1"
"GeoSVG-3D","scBSP","scBSP only","TMSB4X"
"GeoSVG-3D","scBSP","scBSP only","TRF"
"GeoSVG-3D","scBSP","scBSP only","TSHZ2"
"GeoSVG-3D","scBSP","scBSP only","VAMP1"
"GeoSVG-3D","SPARK","Overlap","ABCC9"
"GeoSVG-3D","SPARK","Overlap","ADAMTS15"
"GeoSVG-3D","SPARK","Overlap","ADCYAP1R1"
"GeoSVG-3D","SPARK","Overlap","ADORA1"
"GeoSVG-3D","SPARK","Overlap","ADORA2B"
"GeoSVG-3D","SPARK","Overlap","ADORA3"
"GeoSVG-3D","SPARK","Overlap","ADRA1B"
"GeoSVG-3D","SPARK","Overlap","ADRB1"
"GeoSVG-3D","SPARK","Overlap","ADRB3"
"GeoSVG-3D","SPARK","Overlap","AFP"
"GeoSVG-3D","SPARK","Overlap","ALCAM"
"GeoSVG-3D","SPARK","Overlap","ANPEP"
"GeoSVG-3D","SPARK","Overlap","ANXA11"
"GeoSVG-3D","SPARK","Overlap","ARHGAP36"
"GeoSVG-3D","SPARK","Overlap","ASS1"
"GeoSVG-3D","SPARK","Overlap","AVP"
"GeoSVG-3D","SPARK","Overlap","B3GAT2"
"GeoSVG-3D","SPARK","Overlap","BMP3"
"GeoSVG-3D","SPARK","Overlap","C1QL2"
"GeoSVG-3D","SPARK","Overlap","CACNA2D2"
"GeoSVG-3D","SPARK","Overlap","CACNG4"
"GeoSVG-3D","SPARK","Overlap","CALB2"
"GeoSVG-3D","SPARK","Overlap","CALCR"
"GeoSVG-3D","SPARK","Overlap","CAMK2D"
"GeoSVG-3D","SPARK","Overlap","CAR4"
"GeoSVG-3D","SPARK","Overlap","CAR8"
"GeoSVG-3D","SPARK","Overlap","CBLN2"
"GeoSVG-3D","SPARK","Overlap","CBLN4"
"GeoSVG-3D","SPARK","Overlap","CCK"
"GeoSVG-3D","SPARK","Overlap","CCKBR"
"GeoSVG-3D","SPARK","Overlap","CCN4"
"GeoSVG-3D","SPARK","Overlap","CCND2"
"GeoSVG-3D","SPARK","Overlap","CCSAP"
"GeoSVG-3D","SPARK","Overlap","CD74"
"GeoSVG-3D","SPARK","Overlap","CDC20"
"GeoSVG-3D","SPARK","Overlap","CDH13"
"GeoSVG-3D","SPARK","Overlap","CDH7"
"GeoSVG-3D","SPARK","Overlap","CDK1"
"GeoSVG-3D","SPARK","Overlap","CHRM1"
"GeoSVG-3D","SPARK","Overlap","CHRM4"
"GeoSVG-3D","SPARK","Overlap","CHRM5"
"GeoSVG-3D","SPARK","Overlap","CLDN10"
"GeoSVG-3D","SPARK","Overlap","CLU"
"GeoSVG-3D","SPARK","Overlap","CNN1"
"GeoSVG-3D","SPARK","Overlap","COCH"
"GeoSVG-3D","SPARK","Overlap","COL20A1"
"GeoSVG-3D","SPARK","Overlap","COL24A1"
"GeoSVG-3D","SPARK","Overlap","COL5A1"
"GeoSVG-3D","SPARK","Overlap","CPA6"
"GeoSVG-3D","SPARK","Overlap","CPB1"
"GeoSVG-3D","SPARK","Overlap","CPLX3"
